polity_id,polity_name,has_structured_capital,capital_event_count,has_migration,has_disputed_capital,capital_modern_raw,coverage_note
polity_0169,大理,True,1,False,False,云南省大理古城,structured
polity_0170,大中,True,1,False,False,云南省大理古城,structured
polity_0171,渤海,True,5,True,False,黑龙江省宁安市渤海镇（上京龙泉府）,structured
polity_0172,吐蕃,True,1,False,False,西藏自治区拉萨市,structured
polity_0173,高句丽,True,3,True,False,辽宁省桓仁满族自治县（卒本）/ 吉林省集安市（国内城）/ 朝鲜平壤市（平壤）,structured
polity_0174,突厥汗国,True,1,False,False,蒙古国前杭爱省哈剌和林一带,structured
polity_0175,东突厥,True,1,False,False,蒙古国前杭爱省哈剌和林一带,structured
polity_0176,西突厥,True,1,False,False,吉尔吉斯斯坦楚河州托克马克市附近,structured
polity_0177,后突厥,True,1,False,False,蒙古国前杭爱省哈剌和林一带,structured
polity_0178,匈奴,True,1,False,False,蒙古国前杭爱省哈剌和林一带（漠北单于庭区域）,structured
polity_0179,南匈奴,True,2,True,False,内蒙古自治区准格尔旗（美稷古地）/ 山西省临汾市,structured
polity_0180,回鹘汗国,True,1,False,False,蒙古国后杭爱省哈剌巴喇哈逊遗址,structured
polity_0181,高昌回鹘,True,2,False,False,新疆维吾尔自治区吐鲁番市高昌区（高昌故城）,structured
polity_0182,甘州回鹘,True,1,False,False,甘肃省张掖市甘州区,structured
polity_0183,中华民国临时政府,True,2,True,False,江苏省南京市；北京市,structured
polity_0184,中华民国北京政府,True,1,False,False,北京市,structured
polity_0185,北洋军阀实际控制区,False,0,False,False,北京市、天津市、辽宁省沈阳市,暂无可解析都城资料
polity_0186,广州护法军政府,True,1,False,False,广东省广州市,structured
polity_0187,中华民国国民政府（名义层）,True,6,True,False,广东省广州市、湖北省武汉市、江苏省南京市、重庆市、台湾省台北市,structured
polity_0188,国民政府实际控制区,False,0,False,False,江苏省南京市、重庆市、广东省广州市、台湾省台北市,暂无可解析都城资料
polity_0189,中华苏维埃共和国,True,2,False,False,江西省瑞金市；陕西省志丹县,structured
polity_0190,陕甘宁边区与中共抗日根据地,True,1,False,False,陕西省延安市,structured
polity_0191,中国共产党解放区,True,2,False,False,陕西省延安市、河北省平山县、北京市,structured
polity_0192,满洲国,True,1,False,False,吉林省长春市,structured
polity_0193,中华民国临时政府（华北）,True,1,False,False,北京市,structured
polity_0194,中华民国维新政府,True,1,False,False,江苏省南京市,structured
polity_0195,汪精卫南京国民政府,True,1,False,False,江苏省南京市,structured
polity_0196,蒙疆联合自治政府,True,1,False,False,河北省张家口市,structured
polity_0197,日本台湾总督府,True,1,False,False,台湾省台北市,structured
polity_0198,日本关东州租借地,True,1,False,False,辽宁省大连市,structured
polity_0199,英租威海卫,True,1,False,False,山东省威海市,structured
polity_0200,法租广州湾,True,1,False,False,广东省湛江市,structured
polity_0201,日本占领胶澳青岛,True,1,False,False,山东省青岛市,structured
polity_0202,上海公共租界,True,1,False,False,上海市,structured
polity_0203,上海法租界,True,1,False,False,上海市,structured
polity_0204,天津租界群,True,1,False,False,天津市,structured
polity_0205,英属香港,True,1,False,False,香港特别行政区,structured
polity_0206,日占香港,True,1,False,False,香港特别行政区,structured
polity_0207,英属香港（战后恢复）,True,1,False,False,香港特别行政区,structured
polity_0208,葡属澳门,True,1,False,False,澳门特别行政区,structured
polity_0209,外蒙古/蒙古人民共和国,True,1,False,False,蒙古国乌兰巴托,structured
polity_0210,西藏噶厦政权,True,1,False,False,西藏自治区拉萨市,structured
polity_0211,新疆省地方军政,True,1,False,False,新疆维吾尔自治区乌鲁木齐市,structured
polity_0212,新疆三区革命政权,True,1,False,False,新疆维吾尔自治区伊宁市,structured
polity_0213,中华人民共和国（1949年成立）,True,1,False,False,北京市,structured
